physical_quantity,power
type,active
2023-08-05 23:36:52,0.063579
2023-08-05 23:37:09,0.063438
2023-08-05 23:37:24,0.063458
2023-08-05 23:37:41,0.063584
2023-08-05 23:37:56,0.063671
2023-08-05 23:38:12,0.063483
2023-08-05 23:38:27,0.063632
2023-08-05 23:38:44,0.063791
2023-08-05 23:38:59,0.064091
2023-08-05 23:39:17,0.063675
2023-08-05 23:39:31,0.063251
2023-08-05 23:39:48,0.063648
2023-08-05 23:40:02,0.063273
2023-08-05 23:40:19,0.063148
2023-08-05 23:40:35,0.063319
2023-08-05 23:40:51,0.119264
2023-08-05 23:41:06,0.113059
2023-08-05 23:41:23,0.112723
2023-08-05 23:41:37,0.114998
2023-08-05 23:41:54,0.115754
2023-08-05 23:42:10,0.117017
2023-08-05 23:42:27,0.116926
2023-08-05 23:42:42,0.11706
2023-08-05 23:42:58,0.117184
2023-08-05 23:43:14,0.121831
2023-08-05 23:43:30,0.121165
2023-08-05 23:43:46,0.121238
2023-08-05 23:44:02,0.121099
2023-08-05 23:44:17,0.067763
2023-08-05 23:44:34,0.067079
2023-08-05 23:44:49,0.066684
2023-08-05 23:45:06,0.0666
2023-08-05 23:45:21,0.066764
2023-08-05 23:45:38,0.067017
2023-08-05 23:45:52,0.066696
2023-08-05 23:46:09,0.066216
2023-08-05 23:46:24,0.066176
2023-08-05 23:46:42,0.066093
2023-08-05 23:46:56,0.066308
2023-08-05 23:47:13,0.065592
2023-08-05 23:47:29,0.066009
2023-08-05 23:47:46,0.065478
2023-08-05 23:48:01,0.066096
2023-08-05 23:48:17,0.065281
2023-08-05 23:48:32,0.065586
2023-08-05 23:48:48,0.065531
2023-08-05 23:49:04,0.065824
2023-08-05 23:49:21,0.065591
2023-08-05 23:49:35,0.065649
2023-08-05 23:49:52,0.06586
2023-08-05 23:50:07,0.065238
2023-08-05 23:50:24,0.06568
2023-08-05 23:50:39,0.066047
2023-08-05 23:50:56,0.065346
2023-08-05 23:51:12,0.065765
2023-08-05 23:51:27,0.065387
2023-08-05 23:51:43,0.06602
2023-08-05 23:52:00,0.063912
2023-08-05 23:52:14,0.063779
2023-08-05 23:52:31,0.063508
2023-08-05 23:52:47,0.0636
2023-08-05 23:53:04,0.063425
2023-08-05 23:53:18,0.063572
2023-08-05 23:53:34,0.063804
2023-08-05 23:53:50,0.063399
2023-08-05 23:54:07,0.063617
2023-08-05 23:54:21,0.063313
2023-08-05 23:54:39,0.063739
2023-08-05 23:54:54,0.063386
2023-08-05 23:55:10,0.063493
2023-08-05 23:55:26,0.063626
2023-08-05 23:55:42,0.0639
